already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 109879160.xml | 1082 | Target Media Sales Kft. | Target Media Sales Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309088124.xml | 930 | Di-Sec Discrate Security Kft. | DI-SEC Discrate Security Személy- és Vagyonvédelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110042002.xml | 3329 | Pólus Plusz Zrt. | PÓLUS PLUSZ Befektetési Zártkörűen működő Részvénytársaság
MATCHED:     | 909014012.xml | 243 | Xanga Holding Kft. | XANGA HOLDING Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 1309075607.xml | 2973 | Metero Kft. | METERO Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 106219021.xml | 1892 | Vagabundus Bt. | VAGABUNDUS Film és Reklám Betéti Társaság
MATCHED:     | 509013421.xml | 6443 | Cipész és Szolgáltató Ipari Kft. | Cipész és Szolgáltató Ipari Korlátolt Felelősségű Társaság
MATCHED:     | 1309091677.xml | 3230 | Jáge-System Kft. | JÁGE-SYSTEM Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 809002114.xml | 5756 | VE-PANNON Építő, Fővállalkozó és Szolgáltató Kft. | VE - PANNON Építő, Fővállalkozó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309078251.xml | 4291 | Fabricom Electrical-PVV Villanyszerelő és Acélszerkezet-gyártó Kft. | 0VV Villanyszerelőipari és Acélszerkezetgyártó Korlátolt Felelősségű TársaságFABRICOM ELECTRICAL-PVV Villanyszerelő Ipari Korlátolt Felelősségű Társaság
MATCHED:     | 509003702.xml | 7270 | BART-LUX Kft. | BART-LUX Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109860384.xml | 5696 | Reanal-Ker Kft. | REANAL-KER Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110041788.xml | 1812 | WVM Lízing és Pénzügyi Rt. | W. V. M. Lízing és Pénzügyi Rt felszámolás alatt
MATCHED:     | 109660472.xml | 6111 | C.P.P. Budapest Kft. | P. C. Budapest Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 2009071461.xml | 3945 | SZABADICS KFT. | SZABADICS - ÉPÍTŐ Építőipari és Ingatlanforgalmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309060268.xml | 6393 | DEPONÁTOR Kft. | DEPONÁTOR Magas- és Mélyépítő Szolgáltató KFT.
MATCHED:     | 1609004406.xml | 4312 | Lisznyai Építőipari Kft. | LISZNYAI ÉPÍTŐIPARI KERESKEDELMI SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 106116566.xml | 20243 | MZ STÚDIÓ Tervező és Tanácsadó Betéti Társaság | MZ STÚDIÓ Tervező és Tanácsadó Betéti Társaság
MATCHED:     | 509002229.xml | 4565 | Szezám-Szikszó Sütőipari Kft. | Szezám-Szikszó Sütőipari Korlátolt Felelősségű Társaság
MATCHED:     | 109860923.xml | 5493 | Biotech Hungary Kft. | BioTech Hungary Kereskedelmi, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 409006277.xml | 5102 | SATIS MOBIL PROJEKT Kft. | SATIS MOBIL PROJEKT Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 2009066190.xml | 3854 | Z-PANNON Építőipari, Kivitelező és Fővállalkozó Korlátolt Felelősségű Társaság | Z-PANNON Építőipari, Kivitelező és Fővállalkozó Korlátolt Felelősségű Társaság
MATCHED:     | 109877354.xml | 463 | Contact Media Kft. | Contact Media Hungary Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1110001521.xml | 17547 | Patár Zrt. | PATÁR Mezőgazdasági, Termelő, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 109930601.xml | 1305 | Pharmadose Kft. | Pharmadose Gyógyszertár Kft.
MATCHED:     | 509009541.xml | 5421 | Fa-Forg-Tech Hungária Kft. | FA-FORG-TECH HUNGÁRIA Forgalomtechnikai és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 809006929.xml | 6331 | Palatia Kft. | Palatia Nyomda és Kiadó Korlátolt Felelősségű Társaság
MATCHED:     | 1309138176.xml | 1756 | Advocon Kft. | Advocon Projektszervező és Tanácsadó Iroda Korlátolt Felelősségű Társaság
MATCHED:     | 109706759.xml | 6216 | Általános Építő és Lakatosipari Kft. | Általános Építő és Lakatosipari Korlátolt Felelősségű Társaság
MATCHED:     | 109726619.xml | 3092 | Pro-Kvóta Kft. | PRO-KVÓTA 2004. Ingatlanhasznosító és Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 909000208.xml | 6728 | ÉGBÉ Kft. | "ÉGBÉ" Épületgépész és Belsőépítész Korlátolt Felelősségű Társaság
MATCHED:     | 109917657.xml | 5587 | Szent Margit Rendelőintézet Nonprofit Korlátolt Felelősségű Társaság | Szent Margit Rendelőintézet Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109913996.xml | 1709 | Lencsehegyi Szénbánya Kft. | Lencsehegyi Szénbánya Korlátolt Felelősségű Társaság
MATCHED:     | 109161686.xml | 787 | Villkesz Kft. | VILLKESZ Villamosipari Kereskedelmi és Szolgáltató korlátolt felelősségü társaság
MATCHED:     | 109735616.xml | 3604 | PEND IN PROJEKT Kft. | PEND IN PROJEKT Ingatlanfejlesztő és Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 509005904.xml | 3874 | Kispatak 2000 Kft. | KISPATAK Kereskedelmi Korlátolt Felelősségű TársaságKISPATAK 2000 Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109566148.xml | 7494 | IC HUNGARY Kft. | IC Companys Hungary Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1310040575.xml | 6853 | Invitel Távközlési Zrt. | INVITEL Távközlési Zrt.
MATCHED:     | 2009068391.xml | 6885 | VAJDA-ÉP Kft. | VAJDA-ÉP Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 1309094165.xml | 608 | Arzenál Kft. | "Arzenál '96" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109909349.xml | 1513 | ELTE Sport Kft. | ELTE SPORT Sportszolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109679412.xml | 2313 | Red-Rel Kft. | RED-REL Termelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1106006273.xml | 7260 | PRENKER BT. | PRENKER Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 109877761.xml | 1976 | Vágta Kft. | Vágta G. T. Rendezvényszervező és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 309106555.xml | 4848 | Bred Irodabútor Kft. | BRED IRODABÚTOR Termelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609004871.xml | 4509 | profix Computer Kft. | PROFIX Computer Számítástechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 1309108520.xml | 5552 | Szilon Kft. | SZILON Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 106013094.xml | 2787 | Polgári Bank | "1001" Éjszaka Aprócikk Betéti Társaság
MATCHED:     | 1309060398.xml | 4628 | MEDICONTUR Kft. | Medicontur Orvostechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 109919030.xml | 5584 | Szabad Tér Színház Nonprofit Kft. | SZABAD TÉR SZÍNHÁZ Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 809006417.xml | 5712 | AUDIT Office Ügyviteli és Adótanácsadó Kft. | AUDIT OFFICE Ügyviteli és Nemzetközi Adótanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 609009188.xml | 5177 | Diabet Trade Kft. | DIABET TRADE SÜTŐIPARI KUTATÓ, KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 109681132.xml | 3047 | BERE-BAU Kft. | BERE-BAU Építőipari, Kivitelező és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109907739.xml | 5378 | Tripla Trade Kft. | Tripla Trade Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 509000692.xml | 5294 | Szivárvány-Ép Kft. | "SZIVÁRVÁNY-ÉP" Épitőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110043182.xml | 2282 | Veritas Rt. | VERITAS INVEST Ingatlanforgalmazási és Befektetési Zártkörű Részvénytársaság
MATCHED:     | 109675971.xml | 3569 | MIS Mobil Kft. | MIS Mobil Információs Szolgálat Korlátolt Felelősségű Társaság
MATCHED:     | 410001461.xml | 3107 | Békési Gabona Rt. | Békési Gabona Részvénytársaság
MATCHED:     | 1509066181.xml | 4671 | TA-TE Kft. | TA-TE Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 610000056.xml | 5511 | EDF DÉMÁSZ Zrt. | EDF DÉMÁSZ Zrt.
