already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 109879160.xml | 1082 | Target Media Sales Kft. | Target Media Sales Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309088124.xml | 930 | Di-Sec Discrate Security Kft. | DI-SEC Discrate Security Személy- és Vagyonvédelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110042002.xml | 3329 | Pólus Plusz Zrt. | PÓLUS PLUSZ Befektetési Zártkörűen működő Részvénytársaság
MATCHED:     | 909014012.xml | 243 | Xanga Holding Kft. | XANGA HOLDING Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 1309075607.xml | 2973 | Metero Kft. | METERO Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 106219021.xml | 1892 | Vagabundus Bt. | VAGABUNDUS Film és Reklám Betéti Társaság
MATCHED:     | 509013421.xml | 6443 | Cipész és Szolgáltató Ipari Kft. | Cipész és Szolgáltató Ipari Korlátolt Felelősségű Társaság
MATCHED:     | 1309091677.xml | 3230 | Jáge-System Kft. | JÁGE-SYSTEM Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 809002114.xml | 5756 | VE-PANNON Építő, Fővállalkozó és Szolgáltató Kft. | VE - PANNON Építő, Fővállalkozó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309078251.xml | 4291 | Fabricom Electrical-PVV Villanyszerelő és Acélszerkezet-gyártó Kft. | 0VV Villanyszerelőipari és Acélszerkezetgyártó Korlátolt Felelősségű TársaságFABRICOM ELECTRICAL-PVV Villanyszerelő Ipari Korlátolt Felelősségű Társaság
MATCHED:     | 509003702.xml | 7270 | BART-LUX Kft. | BART-LUX Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109860384.xml | 5696 | Reanal-Ker Kft. | REANAL-KER Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110041788.xml | 1812 | WVM Lízing és Pénzügyi Rt. | W. V. M. Lízing és Pénzügyi Rt felszámolás alatt
MATCHED:     | 109660472.xml | 6111 | C.P.P. Budapest Kft. | P. C. Budapest Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 2009071461.xml | 3945 | SZABADICS KFT. | SZABADICS - ÉPÍTŐ Építőipari és Ingatlanforgalmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309060268.xml | 6393 | DEPONÁTOR Kft. | DEPONÁTOR Magas- és Mélyépítő Szolgáltató KFT.
MATCHED:     | 1609004406.xml | 4312 | Lisznyai Építőipari Kft. | LISZNYAI ÉPÍTŐIPARI KERESKEDELMI SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 106116566.xml | 20243 | MZ STÚDIÓ Tervező és Tanácsadó Betéti Társaság | MZ STÚDIÓ Tervező és Tanácsadó Betéti Társaság
MATCHED:     | 509002229.xml | 4565 | Szezám-Szikszó Sütőipari Kft. | Szezám-Szikszó Sütőipari Korlátolt Felelősségű Társaság
MATCHED:     | 109860923.xml | 5493 | Biotech Hungary Kft. | BioTech Hungary Kereskedelmi, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 409006277.xml | 5102 | SATIS MOBIL PROJEKT Kft. | SATIS MOBIL PROJEKT Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 2009066190.xml | 3854 | Z-PANNON Építőipari, Kivitelező és Fővállalkozó Korlátolt Felelősségű Társaság | Z-PANNON Építőipari, Kivitelező és Fővállalkozó Korlátolt Felelősségű Társaság
MATCHED:     | 109877354.xml | 463 | Contact Media Kft. | Contact Media Hungary Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1110001521.xml | 17547 | Patár Zrt. | PATÁR Mezőgazdasági, Termelő, Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 109930601.xml | 1305 | Pharmadose Kft. | Pharmadose Gyógyszertár Kft.
MATCHED:     | 509009541.xml | 5421 | Fa-Forg-Tech Hungária Kft. | FA-FORG-TECH HUNGÁRIA Forgalomtechnikai és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 809006929.xml | 6331 | Palatia Kft. | Palatia Nyomda és Kiadó Korlátolt Felelősségű Társaság
MATCHED:     | 1309138176.xml | 1756 | Advocon Kft. | Advocon Projektszervező és Tanácsadó Iroda Korlátolt Felelősségű Társaság
MATCHED:     | 109706759.xml | 6216 | Általános Építő és Lakatosipari Kft. | Általános Építő és Lakatosipari Korlátolt Felelősségű Társaság
MATCHED:     | 109726619.xml | 3092 | Pro-Kvóta Kft. | PRO-KVÓTA 2004. Ingatlanhasznosító és Vagyonkezelő Korlátolt Felelősségű Társaság
MATCHED:     | 909000208.xml | 6728 | ÉGBÉ Kft. | "ÉGBÉ" Épületgépész és Belsőépítész Korlátolt Felelősségű Társaság
MATCHED:     | 109917657.xml | 5587 | Szent Margit Rendelőintézet Nonprofit Korlátolt Felelősségű Társaság | Szent Margit Rendelőintézet Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109913996.xml | 1709 | Lencsehegyi Szénbánya Kft. | Lencsehegyi Szénbánya Korlátolt Felelősségű Társaság
MATCHED:     | 109161686.xml | 787 | Villkesz Kft. | VILLKESZ Villamosipari Kereskedelmi és Szolgáltató korlátolt felelősségü társaság
MATCHED:     | 109735616.xml | 3604 | PEND IN PROJEKT Kft. | PEND IN PROJEKT Ingatlanfejlesztő és Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 509005904.xml | 3874 | Kispatak 2000 Kft. | KISPATAK Kereskedelmi Korlátolt Felelősségű TársaságKISPATAK 2000 Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109566148.xml | 7494 | IC HUNGARY Kft. | IC Companys Hungary Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1310040575.xml | 6853 | Invitel Távközlési Zrt. | INVITEL Távközlési Zrt.
MATCHED:     | 2009068391.xml | 6885 | VAJDA-ÉP Kft. | VAJDA-ÉP Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 1309094165.xml | 608 | Arzenál Kft. | "Arzenál '96" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109909349.xml | 1513 | ELTE Sport Kft. | ELTE SPORT Sportszolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109679412.xml | 2313 | Red-Rel Kft. | RED-REL Termelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1106006273.xml | 7260 | PRENKER BT. | PRENKER Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 109877761.xml | 1976 | Vágta Kft. | Vágta G. T. Rendezvényszervező és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 309106555.xml | 4848 | Bred Irodabútor Kft. | BRED IRODABÚTOR Termelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609004871.xml | 4509 | profix Computer Kft. | PROFIX Computer Számítástechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 1309108520.xml | 5552 | Szilon Kft. | SZILON Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 106013094.xml | 2787 | Polgári Bank | "1001" Éjszaka Aprócikk Betéti Társaság
MATCHED:     | 1309060398.xml | 4628 | MEDICONTUR Kft. | Medicontur Orvostechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 109919030.xml | 5584 | Szabad Tér Színház Nonprofit Kft. | SZABAD TÉR SZÍNHÁZ Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 809006417.xml | 5712 | AUDIT Office Ügyviteli és Adótanácsadó Kft. | AUDIT OFFICE Ügyviteli és Nemzetközi Adótanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 609009188.xml | 5177 | Diabet Trade Kft. | DIABET TRADE SÜTŐIPARI KUTATÓ, KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 109681132.xml | 3047 | BERE-BAU Kft. | BERE-BAU Építőipari, Kivitelező és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109907739.xml | 5378 | Tripla Trade Kft. | Tripla Trade Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 509000692.xml | 5294 | Szivárvány-Ép Kft. | "SZIVÁRVÁNY-ÉP" Épitőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110043182.xml | 2282 | Veritas Rt. | VERITAS INVEST Ingatlanforgalmazási és Befektetési Zártkörű Részvénytársaság
MATCHED:     | 109675971.xml | 3569 | MIS Mobil Kft. | MIS Mobil Információs Szolgálat Korlátolt Felelősségű Társaság
MATCHED:     | 410001461.xml | 3107 | Békési Gabona Rt. | Békési Gabona Részvénytársaság
MATCHED:     | 1509066181.xml | 4671 | TA-TE Kft. | TA-TE Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 610000056.xml | 5511 | EDF DÉMÁSZ Zrt. | EDF DÉMÁSZ Zrt.
MATCHED:     | 1609001756.xml | 6655 | Ozirisz Vendéglátó Kft. | Ozirisz Vendéglátó Korlátolt felelősségű társaság
MATCHED:     | 1309065021.xml | 506 | Pevdi Kft. | PEVDI Ablakgyártó Kft. "felszámolás alatt"
MATCHED:     | 109264442.xml | 3283 | Oracle Hungary Kft. | Oracle Hungary Számítástechnikai, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 809013342.xml | 6230 | VILL-KORR Hungária Kft. | VILL-KORR HUNGÁRIA Villamosipari Korlátolt Felelősségű Társaság
MATCHED:     | 509012962.xml | 2670 | FK Raszter Kft. | FK RASZTER-ENERGO Energetikai Korlátolt Felelősségű Társaság
MATCHED:     | 1309128683.xml | 70 | Sávoly Motorcentrum Fejlesztő Kft. | Sávoly Motorcentrum Fejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 109664583.xml | 4283 | Demax Művek Nyomdaipari Kft. | deMax Művek Nyomdaipari Kft.
MATCHED:     | 109563040.xml | 5045 | ANKERIT Kereskedelmi, Szolgáltató és Építőipari Kft. | ANKERIT Kereskedelmi, Szolgáltató és Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 114000142.xml | 21247 | KAMILLA Munkahelyteremtő Közhasznú Társaság | KAMILLA Munkahelyteremtő Közhasznú Társaság
MATCHED:     | 306103733.xml | 4698 | DuoLine Bt. | DuoLine Kereskedőház és Bútorgyártó Betéti Társaság
MATCHED:     | 709016582.xml | 3529 | Fejér Megyei Energia Szolgáltató Nonprofit Kft. | Fejér Megyei Energia Szolgáltató Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 309101413.xml | 535 | Euro Möbel Line Kft. | EURO MÖBEL LINE Bútoripari Korlátolt Felelősségű TársaságEURO MÖBEL LINE Bútoripari Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109361571.xml | 1390 | Mahir Kiállítás Kft. | MAHIR Kiállítás és Rendezvény Szervező és Kivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 2009065006.xml | 7354 | YNET Kereskedelmi, Szolgáltató és Termelő KFT | YNET Kereskedelmi, Szolgáltató és Termelő Korlátolt Felelősségű Társaság
MATCHED:     | 109737044.xml | 2514 | Ballymore Kft. | Ballymore Management Ingatlankezelő Korlátolt Felelősségű Társasűg
MATCHED:     | 109868182.xml | 2676 | AndA Dent Kft. | AndA Dent Ingatlanforgalmazó és Szolgáltató Kft.
MATCHED:     | 109928023.xml | 7350 | Beckman Coulter Kft. | Beckman Coulter Magyarország Korlátolt Felelősségű Társaság
MATCHED:     | 109874584.xml | 3449 | JN Parkolóház Kft. | JN Parkolóház Ingatlanhasznosító Korlátolt Felelősségű Társaság
MATCHED:     | 609007138.xml | 5753 | Probart Kft. | PROBART Építő, Szerelő, Kereskedő és Szolgáltató Kft
MATCHED:     | 110045196.xml | 21203 | Nézőpont Intézet Elemző és Kutató Zártkörűen Működő Részvénytársaság | NÉZŐPONT Intézet Elemző és Kutató Zártkörűen Működő Részvénytársaság
MATCHED:     | 509003490.xml | 6557 | SPIDI-BAU KFT. | SPIDI-BAU Kivitelező, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1210001546.xml | 110 | Energol Rt. | ENERGOL Energetikai, Kereskedelmi és Szolgáltató Részvénytársaság
MATCHED:     | 509001817.xml | 4301 | Timpanon Vagyonkezelő és Szolgáltató Kft | TIMPANON Vagyonkezelő és Szolgáltató Korlátolt Felelősségű társaság
MATCHED:     | 109869205.xml | 5131 | LAYER Kft. | Layer 3 Investments Ingatlanhasznosító Korlátolt Felelősségű Társaság
MATCHED:     | 1910001014.xml | 6141 | POLUS-COOP Ipari és Kereskedelmi Zrt. | POLUS-COOP Kereskedelmi és Ipari Zártkörűen Működő Részvénytársaság
MATCHED:     | 309105515.xml | 13759 | Fanyarka Erdészeti Kft. | FANYARKA Erdészeti Korlátolt Felelősségű Társaság
MATCHED:     | 1309060177.xml | 2532 | Eurotrust Consult Kft. | EUROTRUST Consult Korlátolt Felelősségű Társaság
MATCHED:     | 1309080298.xml | 1411 | MON-DA Központi Riasztórendszer Szolgáltató Kft. | MON-DA Központi Riasztórendszer Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909001783.xml | 22733 | AGRÁRGAZDASÁG Mezőgazdaság és Kereskedelmi Korlátolt Felelősségű Társaság | AGRÁRGAZDASÁG Mezőgazdasági és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109718803.xml | 6246 | e-Corvina Informatikai Szolgáltató Kft. | e-Corvina Informatikai Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109702133.xml | 2355 | Hold-Ing Kft. | G. HOLD-ING Ingatlanforgalmazó és Vagyonhasznosító Korlátolt Felelősségű Társaság
MATCHED:     | 309111793.xml | 848 | Júlia-Malom Kft. | Júlia-Malom Élelmiszeripari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 309114197.xml | 5706 | WBS Rendszerház Kereskedelmi és Szolgáltató Kft. | WBS Rendszerház Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109465589.xml | 2809 | HTC Hi-tech Composite Kft. | HTC Hi-Tech Composite Ipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110043302.xml | 2161 | Hírtőzsde Holding Rt. | Hírtőzsde Holding Zártkörűen Működő Részvénytársaság
MATCHED:     | 109709671.xml | 5137 | Thermo Épgép Kft. | "THERMO ÉPGÉP" Építőipari Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 309111371.xml | 6605 | HBF Hungaricum Gazdasági, Tanácsadó és Szolgáltató Kft. | HBF Hungaricum Gazdasági, Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109884485.xml | 1588 | Frissbeton Kft. | Frissbeton Betongyártó és Forgalmazó Korlátolt Felelősségű Társaság
MATCHED:     | 609003923.xml | 2882 | Bravotech Kft. | "BRAVOTECH" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1809101357.xml | 3131 | Ferrosüt Kft. | FERROSÜT Sütő- és Édesipari Korlátolt Felelősségű Társaság
MATCHED:     | 109368622.xml | 5681 | Extreme Film Filmgyártó és Szolgáltató Kft. | EXTREME Filmgyártó és Kereskedelmi Korlátolt Felelősségű TársaságExtreme Art Film Filmgyárt1o és Kereskedelmi Korlátolt Felelősségű TársaságENTRÓPIA Kereskedelmi és Szolgáltató Korlátolt Felelősségű TársaságENTRÓPIA GUMIHANGYA Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1506087110.xml | 5064 | Rosava BT | "ROSAVA" Ipari kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 1309097685.xml | 2789 | B-Reklám Kft. | "M. C. B. Reklám" Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 210060354.xml | 4299 | Tettye Forrásház Pécsi Városi Víziközmű Üzemeltetési Zrt. | TETTYE FORRÁSHÁZ Pécsi Városi Víziközmű Üzemeltetési Zártkörűen Működő Részvénytársaság
MATCHED:     | 109078353.xml | 5788 | Microsec Számítástechnikai Fejlesztő Kft. | MICROSEC Számítástechnikai Fejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 509003145.xml | 1182 | Belvárosi Irodaház Kft. | BELVÁROSI IRODAHÁZ 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109064584.xml | 2336 | Variorum Kft. | VARIORUM Kommunikációs Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309060487.xml | 2934 | Vector Kereskedelmi Kft. | "VECTOR" Kereskedelmi Korlátolt Felelősségű Társaság -felszámolás alatt-
MATCHED:     | 109269768.xml | 3241 | V-Valeur Kft. | V-VALEUR Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110044704.xml | 4867 | LAKI Épületszobrász Zrt. | LAKI Épületszobrász Zártkörűen Működő Részvénytársaság
MATCHED:     | 1309094370.xml | 6430 | CARPET-CLEANER KERESKEDELMI ÉS SZOLGÁLTATÓ Kft. | CARPET - CLEANER Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109063411.xml | 183 | IFUA Horváth & Partners Kft. | IFUA HORVÁTH & PARTNERS Vezetési és Informatikai Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1310040660.xml | 3682 | CODEX Értékpapírnyomda Zártkörűen Működő Részvénytársaság | CODEX Értékpapírnyomda Zártkörűen Működő Részvénytársaság
MATCHED:     | 109717229.xml | 3602 | HR-Profession Kft. | HR-PROFESSION Humánerőforrás fejlesztési, Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109075283.xml | 1544 | Leo Burnett Kft. | Leo Burnett Budapest Nemzetközi Reklámügynökség Kft.
MATCHED:     | 109680887.xml | 1073 | JNT Security Kft. | JNT Security Logisztikai és Biztonsági Korlátolt Felelősségű Társaság
MATCHED:     | 110044339.xml | 4394 | Carnation Internet Tanácsadó Zrt. | CARNATION Internet Tanácsadó Zártkörűen Működő Részvénytársaság
MATCHED:     | 109696666.xml | 5817 | PER-FORM Hungária Kft. | PER-FORM Hungária Kereskedelmi és Szolgáltató Korlátolt felelősségű társaság
MATCHED:     | 106750164.xml | 2312 | 451 Fahrenheit Bt. | "451 FAHRENHEIT" Szolgáltató és Kereskedelmi Betéti Társaság
MATCHED:     | 109070868.xml | 4082 | Simkon Külkereskedelmi és Szolgáltató Kft. | SIMKON Külkereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1009029570.xml | 4764 | HEDÚT ' 91 KFt. | HEDÚT '91 Korlátolt Felelősségű Társaság
MATCHED:     | 109065700.xml | 4216 | Vésnök Kft. | "VÉSNÖK" Kft
MATCHED:     | 110042140.xml | 314 | Kőbányai Vagyonkezelő Zrt. | Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság
MATCHED:     | 1310040409.xml | 4802 | Telenor Magyarország Zrt. | Telenor Magyarország Zártkörűen Működő Részvénytársaság
MATCHED:     | 609012803.xml | 4240 | Sándorfalva Város- és Vállalkozásfejlesztő, Pályázati Tanácsadó Közhasznú Nonprofit Kft. | Sándorfalva Város- és Vállalkozásfejlesztő, Pályázati Tanácsadó Közhasznú Nonprofit Kft.
MATCHED:     | 1509072669.xml | 3862 | DEPONA PLUSZ Építőipari, Kereskedelmi és Szolgáltató Kft. | DEPONA PLUSZ Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110044919.xml | 1583 | Corvin Rt. | "CORVIN" Ingatlanfejlesztési, Építő és Városrehabilitációs Zártkörűen Működő Részvénytársaság
MATCHED:     | 409001654.xml | 4912 | ÉPCENTER Kft. | ÉPCENTER Épitőipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109062359.xml | 3181 | ITEA Kft. | ITEA Információtechnika és Elektronikus Adatvédelem Korlátolt Felelősségű Társaság
MATCHED:     | 1209000969.xml | 5351 | SALGÓ-TEMPÓ Építő és Szolgáltató Kft. | SALGÓ-TEMPÓ Építő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109065207.xml | 5912 | Funkció Kft. | "3 F" FUNKCIÓ, FORMA, FANTÁZIA Faipari és Kereskedelmi Kft
MATCHED:     | 109689335.xml | 7002 | GENERÁL Építőipari Kft. | "GENERÁL" Építőipari-, Betonipari és Kereskedelmi Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109866301.xml | 1161 | SPT Mélygarázs Kft. | SPT Mélygarázs Korlátolt Felelősségű Társaság
MATCHED:     | 109072280.xml | 5178 | Kraft Foods Hungaria Kft. | Kraft Foods Hungária Kávé és Édesipari Áru Termelő és Értékesítő Korlátolt Felelősségű TársaságKraft Foods Hungária Kávé és Édesipari Áru Értékesítő Korlátolt Felelősségű Társaság
MATCHED:     | 1509064767.xml | 5655 | RÓZSAÉP KERESKEDELMI ÉS SZOLGÁLTATÓ Kft. | RÓZSAÉP Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109918527.xml | 5534 | ZÖFE Zöldterület-fejlesztő és Fenntartó Kft. | ZÖFE Zöldterület-fenntartó és Fejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 1509060733.xml | 7336 | Nyír-Flop KFT |  NYÍR-FLOP Hulladékgazdálkodási Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110042231.xml | 1520 | Sasad Rt. | SASAD Szövetkezeti Részvénytársaság
